13.005,2.059
11.215,4.764
11.396,1.421
10.641,4.284
10.025,2.750
13.258,2.478
10.149,5.276
10.018,4.406
12.141,4.913
10.560,2.400
10.511,5.972
13.445,2.273
14.362,5.597
14.302,2.940
11.111,3.661
10.393,3.072
12.252,2.426
10.286,1.171
10.022,3.558
13.165,5.514
5.685,12.699
4.043,10.354
4.711,13.552
3.115,10.763
2.517,12.743
3.652,12.114
1.892,10.525
4.664,13.822
4.097,11.251
1.782,11.669
1.410,10.068
2.773,12.095
4.026,12.403
3.785,11.082
2.274,12.679
3.578,13.035
5.043,14.095
3.676,14.376
3.175,11.690
4.344,10.975
