4.447,1.177
5.974,1.467
4.68,3.709
3.237,1.167
5.144,3.2
5.42,2.814
5.612,1.171
5.291,2.593
5.806,3.71
5.972,1.869
5.98,2.776
3.608,2.228
5.076,3.409
5.587,3.571
5.479,2.197
1.519,6.889
2.014,5.275
0.908,6.609
0.461,6.227
2.974,6.715
1.678,7.937
3.078,5.602
2.707,6.19
1.371,5.691
1.702,7.968
2.264,7.585
3.075,6.885
2.778,6.305
2.161,7.448
3.267,5.243
5.951,8.076
5.99,7.419
6.662,7.942
5.681,6.686
5.506,6.684
7.533,7.287
5.019,7.501
5.329,7.969
7.479,8.327
7.072,7.366
7.508,6.504
7.399,7.783
7.763,6.355
5.757,8.899
5.895,6.417
